NodeA	NodeB	TCGA_A7_A0CE	TCGA_A7_A0CH	TCGA_A7_A0D9	TCGA_A7_A0DB	TCGA_A7_A13E	TCGA_A7_A13F	TCGA_A7_A13G	TCGA_AC_A23H	TCGA_AC_A2FB	TCGA_AC_A2FF	TCGA_AC_A2FM	TCGA_BH_A0AU	TCGA_BH_A0AY	TCGA_BH_A0AZ	TCGA_BH_A0B3	TCGA_BH_A0B5	TCGA_BH_A0B7	TCGA_BH_A0BA	TCGA_BH_A0BC	TCGA_BH_A0BJ	TCGA_BH_A0BM	TCGA_BH_A0BQ	TCGA_BH_A0BS	TCGA_BH_A0BV	TCGA_BH_A0BW	TCGA_BH_A0BZ	TCGA_BH_A0C0	TCGA_BH_A0C3	TCGA_BH_A0DD	TCGA_BH_A0DG	TCGA_BH_A0DH	TCGA_BH_A0DK	TCGA_BH_A0DL	TCGA_BH_A0DO	TCGA_BH_A0DP	TCGA_BH_A0DQ	TCGA_BH_A0DT	TCGA_BH_A0DV	TCGA_BH_A0DZ	TCGA_BH_A0E0	TCGA_BH_A0E1	TCGA_BH_A0H5	TCGA_BH_A0H7	TCGA_BH_A0H9	TCGA_BH_A0HA	TCGA_BH_A0HK	TCGA_BH_A18J	TCGA_BH_A18L	TCGA_BH_A18M	TCGA_BH_A18N	TCGA_BH_A18P	TCGA_BH_A18Q	TCGA_BH_A18R	TCGA_BH_A18S	TCGA_BH_A18U	TCGA_BH_A18V	TCGA_BH_A1EN	TCGA_BH_A1EO	TCGA_BH_A1ET	TCGA_BH_A1EU	TCGA_BH_A1EV	TCGA_BH_A1EW	TCGA_BH_A1F0	TCGA_BH_A1F2	TCGA_BH_A1F6	TCGA_BH_A1F8	TCGA_BH_A1FC	TCGA_BH_A1FE	TCGA_BH_A1FG	TCGA_BH_A1FH	TCGA_BH_A1FJ	TCGA_BH_A1FM	TCGA_BH_A1FN	TCGA_BH_A1FR	TCGA_BH_A1FU	TCGA_BH_A203	TCGA_BH_A204	TCGA_BH_A208	TCGA_BH_A209	TCGA_E2_A153	TCGA_E2_A158	TCGA_E2_A15I	TCGA_E2_A15K	TCGA_E2_A15M	TCGA_E2_A1BC	TCGA_E2_A1IG	TCGA_E2_A1L7	TCGA_E2_A1LB	TCGA_E2_A1LH	TCGA_E9_A1N4	TCGA_E9_A1N5	TCGA_E9_A1N9	TCGA_E9_A1NA	TCGA_E9_A1ND	TCGA_E9_A1NF	TCGA_E9_A1NG	TCGA_E9_A1R7	TCGA_E9_A1RB	TCGA_E9_A1RC	TCGA_E9_A1RD	TCGA_E9_A1RF	TCGA_E9_A1RH	TCGA_E9_A1RI	TCGA_GI_A2C8	TCGA_GI_A2C9
UDP[c]	RXN_175	0.4173	0.3731	0.2542	0.3494	0.3012	0.8263	0.2746	0.7428	0.2914	0.3071	0.5161	0.6488	0.2774	0.3071	0.7238	0.4581	0.4803	0.3403	0.3784	0.3484	0.1621	0.1948	0.5531	0.3527	0.6458	0.3409	0.3784	0.302	0.5607	0.3426	0.5227	0.3291	0.4564	0.1902	0.285	0.3554	0.2886	0.1945	0.3273	0.741	0.7764	0.316	0.3432	0.3713	0.3076	0.321	0.4384	0.6072	0.4361	0.2518	0.5261	0.4632	0.7095	0.292	0.4811	0.4184	0.2681	0.6271	0.4394	0.4079	0.5144	0.5278	0.2897	0.7321	0.4874	1	0.4887	0.6061	0.41	0.2384	0.7357	0.9165	0.4203	0.4633	0.4894	0.4545	0.9192	0.2584	0.5031	0.3119	0.2345	0.2175	0.4512	0.42	0.2319	0.2794	0.3745	0.3938	0.1533	0.4943	0.2743	0.3299	0.3612	0.43	0.2467	0.3557	0.567	0.5003	0.5514	0.5116	0.2379	0.6907	0.2835	0.2045	0.2774
RXN_175	H2O[c]	0.4173	0.3731	0.2542	0.3494	0.3012	0.8263	0.2746	0.7428	0.2914	0.3071	0.5161	0.6488	0.2774	0.3071	0.7238	0.4581	0.4803	0.3403	0.3784	0.3484	0.1621	0.1948	0.5531	0.3527	0.6458	0.3409	0.3784	0.302	0.5607	0.3426	0.5227	0.3291	0.4564	0.1902	0.285	0.3554	0.2886	0.1945	0.3273	0.741	0.7764	0.316	0.3432	0.3713	0.3076	0.321	0.4384	0.6072	0.4361	0.2518	0.5261	0.4632	0.7095	0.292	0.4811	0.4184	0.2681	0.6271	0.4394	0.4079	0.5144	0.5278	0.2897	0.7321	0.4874	1	0.4887	0.6061	0.41	0.2384	0.7357	0.9165	0.4203	0.4633	0.4894	0.4545	0.9192	0.2584	0.5031	0.3119	0.2345	0.2175	0.4512	0.42	0.2319	0.2794	0.3745	0.3938	0.1533	0.4943	0.2743	0.3299	0.3612	0.43	0.2467	0.3557	0.567	0.5003	0.5514	0.5116	0.2379	0.6907	0.2835	0.2045	0.2774
RXN_175	dUDP[c]	0.4173	0.3731	0.2542	0.3494	0.3012	0.8263	0.2746	0.7428	0.2914	0.3071	0.5161	0.6488	0.2774	0.3071	0.7238	0.4581	0.4803	0.3403	0.3784	0.3484	0.1621	0.1948	0.5531	0.3527	0.6458	0.3409	0.3784	0.302	0.5607	0.3426	0.5227	0.3291	0.4564	0.1902	0.285	0.3554	0.2886	0.1945	0.3273	0.741	0.7764	0.316	0.3432	0.3713	0.3076	0.321	0.4384	0.6072	0.4361	0.2518	0.5261	0.4632	0.7095	0.292	0.4811	0.4184	0.2681	0.6271	0.4394	0.4079	0.5144	0.5278	0.2897	0.7321	0.4874	1	0.4887	0.6061	0.41	0.2384	0.7357	0.9165	0.4203	0.4633	0.4894	0.4545	0.9192	0.2584	0.5031	0.3119	0.2345	0.2175	0.4512	0.42	0.2319	0.2794	0.3745	0.3938	0.1533	0.4943	0.2743	0.3299	0.3612	0.43	0.2467	0.3557	0.567	0.5003	0.5514	0.5116	0.2379	0.6907	0.2835	0.2045	0.2774
5_10_methylene_THF[c]	RXN_176	0.169	0.0461	0.0488	0.0508	0.1647	0.2254	0.0311	0.0534	0.0565	0.0752	0.0799	0.073	0.0634	0.024	0.3157	0.2263	0.0614	0.0551	0.1866	0.0393	0.0217	0.069	0.0637	0.0724	0.2499	0.1533	0.1163	0.0611	0.2654	0.0471	0.0694	0.1496	0.1297	0.0226	0.0667	0.1477	0.0656	0.0414	0.2563	0.1348	0.2318	0.0831	0.1213	0.1345	0.052	0.0666	0.085	0.0652	0.1149	0.1013	0.1204	0.3953	0.2066	0.0205	0.1422	0.1272	0.0601	0.0719	0.0322	0.0324	0.0489	0.0621	0.221	0.1372	0.1746	0.0984	1	0.1859	0.0641	0.0228	0.1835	0.1549	0.181	0.1074	0.1771	0.0489	0.1095	0.0572	0.2258	0.0412	0.0384	0.0149	0.1857	0.1244	0.0128	0.051	0.3589	0.0672	0.1625	0.0736	0.151	0.1832	0.1502	0.1102	0.1121	0.0434	0.0697	0.222	0.1367	0.0816	0.0564	0.3688	0.0439	0.0174	0.1589
dUMP[c]	RXN_176	0.169	0.0461	0.0488	0.0508	0.1647	0.2254	0.0311	0.0534	0.0565	0.0752	0.0799	0.073	0.0634	0.024	0.3157	0.2263	0.0614	0.0551	0.1866	0.0393	0.0217	0.069	0.0637	0.0724	0.2499	0.1533	0.1163	0.0611	0.2654	0.0471	0.0694	0.1496	0.1297	0.0226	0.0667	0.1477	0.0656	0.0414	0.2563	0.1348	0.2318	0.0831	0.1213	0.1345	0.052	0.0666	0.085	0.0652	0.1149	0.1013	0.1204	0.3953	0.2066	0.0205	0.1422	0.1272	0.0601	0.0719	0.0322	0.0324	0.0489	0.0621	0.221	0.1372	0.1746	0.0984	1	0.1859	0.0641	0.0228	0.1835	0.1549	0.181	0.1074	0.1771	0.0489	0.1095	0.0572	0.2258	0.0412	0.0384	0.0149	0.1857	0.1244	0.0128	0.051	0.3589	0.0672	0.1625	0.0736	0.151	0.1832	0.1502	0.1102	0.1121	0.0434	0.0697	0.222	0.1367	0.0816	0.0564	0.3688	0.0439	0.0174	0.1589
RXN_176	dTMP[c]	0.169	0.0461	0.0488	0.0508	0.1647	0.2254	0.0311	0.0534	0.0565	0.0752	0.0799	0.073	0.0634	0.024	0.3157	0.2263	0.0614	0.0551	0.1866	0.0393	0.0217	0.069	0.0637	0.0724	0.2499	0.1533	0.1163	0.0611	0.2654	0.0471	0.0694	0.1496	0.1297	0.0226	0.0667	0.1477	0.0656	0.0414	0.2563	0.1348	0.2318	0.0831	0.1213	0.1345	0.052	0.0666	0.085	0.0652	0.1149	0.1013	0.1204	0.3953	0.2066	0.0205	0.1422	0.1272	0.0601	0.0719	0.0322	0.0324	0.0489	0.0621	0.221	0.1372	0.1746	0.0984	1	0.1859	0.0641	0.0228	0.1835	0.1549	0.181	0.1074	0.1771	0.0489	0.1095	0.0572	0.2258	0.0412	0.0384	0.0149	0.1857	0.1244	0.0128	0.051	0.3589	0.0672	0.1625	0.0736	0.151	0.1832	0.1502	0.1102	0.1121	0.0434	0.0697	0.222	0.1367	0.0816	0.0564	0.3688	0.0439	0.0174	0.1589
RXN_176	dihydrofolate[c]	0.169	0.0461	0.0488	0.0508	0.1647	0.2254	0.0311	0.0534	0.0565	0.0752	0.0799	0.073	0.0634	0.024	0.3157	0.2263	0.0614	0.0551	0.1866	0.0393	0.0217	0.069	0.0637	0.0724	0.2499	0.1533	0.1163	0.0611	0.2654	0.0471	0.0694	0.1496	0.1297	0.0226	0.0667	0.1477	0.0656	0.0414	0.2563	0.1348	0.2318	0.0831	0.1213	0.1345	0.052	0.0666	0.085	0.0652	0.1149	0.1013	0.1204	0.3953	0.2066	0.0205	0.1422	0.1272	0.0601	0.0719	0.0322	0.0324	0.0489	0.0621	0.221	0.1372	0.1746	0.0984	1	0.1859	0.0641	0.0228	0.1835	0.1549	0.181	0.1074	0.1771	0.0489	0.1095	0.0572	0.2258	0.0412	0.0384	0.0149	0.1857	0.1244	0.0128	0.051	0.3589	0.0672	0.1625	0.0736	0.151	0.1832	0.1502	0.1102	0.1121	0.0434	0.0697	0.222	0.1367	0.0816	0.0564	0.3688	0.0439	0.0174	0.1589
ADP[c]	RXN_177	0.3912	0.3694	0.2148	0.5139	0.5767	0.6463	0.3865	0.7775	0.3552	0.256	0.4444	0.5221	0.4642	0.3652	0.4886	0.5494	1	0.3205	0.7803	0.3775	0.288	0.487	0.4851	0.3576	0.7991	0.7342	0.5403	0.4128	0.557	0.5011	0.2753	0.5299	0.8682	0.2855	0.3499	0.513	0.3333	0.3355	0.8479	0.4339	0.6011	0.4054	0.8964	0.6252	0.5918	0.3703	0.6199	0.772	0.3994	0.3209	0.4874	0.3354	0.5308	0.416	0.7938	0.3991	0.4671	0.2459	0.2392	0.1886	0.3768	0.3865	0.5934	0.3353	0.5455	0.4597	0.6113	0.3783	0.507	0.1799	0.592	0.1813	0.3004	0.5113	0.4143	0.7243	0.3537	0.2884	0.7717	0.2936	0.406	0.2548	0.8442	0.2587	0.21	0.5973	0.7044	0.5336	0.5977	0.2357	0.475	0.4023	0.2683	0.4208	0.2211	0.3411	0.3916	0.5775	0.2662	0.3335	0.4103	0.6113	0.2901	0.1955	0.4991
dUDP[c]	RXN_177	0.3912	0.3694	0.2148	0.5139	0.5767	0.6463	0.3865	0.7775	0.3552	0.256	0.4444	0.5221	0.4642	0.3652	0.4886	0.5494	1	0.3205	0.7803	0.3775	0.288	0.487	0.4851	0.3576	0.7991	0.7342	0.5403	0.4128	0.557	0.5011	0.2753	0.5299	0.8682	0.2855	0.3499	0.513	0.3333	0.3355	0.8479	0.4339	0.6011	0.4054	0.8964	0.6252	0.5918	0.3703	0.6199	0.772	0.3994	0.3209	0.4874	0.3354	0.5308	0.416	0.7938	0.3991	0.4671	0.2459	0.2392	0.1886	0.3768	0.3865	0.5934	0.3353	0.5455	0.4597	0.6113	0.3783	0.507	0.1799	0.592	0.1813	0.3004	0.5113	0.4143	0.7243	0.3537	0.2884	0.7717	0.2936	0.406	0.2548	0.8442	0.2587	0.21	0.5973	0.7044	0.5336	0.5977	0.2357	0.475	0.4023	0.2683	0.4208	0.2211	0.3411	0.3916	0.5775	0.2662	0.3335	0.4103	0.6113	0.2901	0.1955	0.4991
RXN_177	ATP[c]	0.3912	0.3694	0.2148	0.5139	0.5767	0.6463	0.3865	0.7775	0.3552	0.256	0.4444	0.5221	0.4642	0.3652	0.4886	0.5494	1	0.3205	0.7803	0.3775	0.288	0.487	0.4851	0.3576	0.7991	0.7342	0.5403	0.4128	0.557	0.5011	0.2753	0.5299	0.8682	0.2855	0.3499	0.513	0.3333	0.3355	0.8479	0.4339	0.6011	0.4054	0.8964	0.6252	0.5918	0.3703	0.6199	0.772	0.3994	0.3209	0.4874	0.3354	0.5308	0.416	0.7938	0.3991	0.4671	0.2459	0.2392	0.1886	0.3768	0.3865	0.5934	0.3353	0.5455	0.4597	0.6113	0.3783	0.507	0.1799	0.592	0.1813	0.3004	0.5113	0.4143	0.7243	0.3537	0.2884	0.7717	0.2936	0.406	0.2548	0.8442	0.2587	0.21	0.5973	0.7044	0.5336	0.5977	0.2357	0.475	0.4023	0.2683	0.4208	0.2211	0.3411	0.3916	0.5775	0.2662	0.3335	0.4103	0.6113	0.2901	0.1955	0.4991
RXN_177	dUMP[c]	0.3912	0.3694	0.2148	0.5139	0.5767	0.6463	0.3865	0.7775	0.3552	0.256	0.4444	0.5221	0.4642	0.3652	0.4886	0.5494	1	0.3205	0.7803	0.3775	0.288	0.487	0.4851	0.3576	0.7991	0.7342	0.5403	0.4128	0.557	0.5011	0.2753	0.5299	0.8682	0.2855	0.3499	0.513	0.3333	0.3355	0.8479	0.4339	0.6011	0.4054	0.8964	0.6252	0.5918	0.3703	0.6199	0.772	0.3994	0.3209	0.4874	0.3354	0.5308	0.416	0.7938	0.3991	0.4671	0.2459	0.2392	0.1886	0.3768	0.3865	0.5934	0.3353	0.5455	0.4597	0.6113	0.3783	0.507	0.1799	0.592	0.1813	0.3004	0.5113	0.4143	0.7243	0.3537	0.2884	0.7717	0.2936	0.406	0.2548	0.8442	0.2587	0.21	0.5973	0.7044	0.5336	0.5977	0.2357	0.475	0.4023	0.2683	0.4208	0.2211	0.3411	0.3916	0.5775	0.2662	0.3335	0.4103	0.6113	0.2901	0.1955	0.4991
ADP[c]	RXN_178	0.4493	0.3237	0.1809	0.383	0.3872	0.5211	0.2795	0.6072	0.2141	0.2748	0.4933	0.3347	0.3862	0.3485	0.3528	0.2197	0.1781	0.1987	0.5614	0.2689	0.3958	0.4916	0.2501	0.2839	0.1545	0.4722	0.6055	0.4219	0.5064	0.7116	0.4393	0.6785	0.2758	0.2022	0.3653	0.3055	0.2805	0.252	0.277	0.379	0.3664	0.2714	0.364	0.6318	0.4405	0.3057	0.2382	0.6	0.2981	0.2902	0.2252	0.3046	0.5807	0.4835	0.5225	0.4007	0.2965	0.1933	0.2447	0.1305	0.2504	0.3186	0.178	0.5321	0.2734	0.2378	0.5238	0.2481	0.4867	0.2746	0.3716	0.1812	0.3061	0.239	0.1733	0.3166	0.3022	0.1762	0.5459	0.311	0.1871	0.2302	0.3386	0.1546	0.2232	0.4336	0.4051	0.4851	0.6135	0.2475	0.3785	0.3513	0.7669	0.3132	0.3454	0.2601	0.3225	0.4908	0.3262	0.2666	1	0.2813	0.3988	0.1935	0.3539
UTP[c]	RXN_178	0.4493	0.3237	0.1809	0.383	0.3872	0.5211	0.2795	0.6072	0.2141	0.2748	0.4933	0.3347	0.3862	0.3485	0.3528	0.2197	0.1781	0.1987	0.5614	0.2689	0.3958	0.4916	0.2501	0.2839	0.1545	0.4722	0.6055	0.4219	0.5064	0.7116	0.4393	0.6785	0.2758	0.2022	0.3653	0.3055	0.2805	0.252	0.277	0.379	0.3664	0.2714	0.364	0.6318	0.4405	0.3057	0.2382	0.6	0.2981	0.2902	0.2252	0.3046	0.5807	0.4835	0.5225	0.4007	0.2965	0.1933	0.2447	0.1305	0.2504	0.3186	0.178	0.5321	0.2734	0.2378	0.5238	0.2481	0.4867	0.2746	0.3716	0.1812	0.3061	0.239	0.1733	0.3166	0.3022	0.1762	0.5459	0.311	0.1871	0.2302	0.3386	0.1546	0.2232	0.4336	0.4051	0.4851	0.6135	0.2475	0.3785	0.3513	0.7669	0.3132	0.3454	0.2601	0.3225	0.4908	0.3262	0.2666	1	0.2813	0.3988	0.1935	0.3539
RXN_178	ATP[c]	0.4493	0.3237	0.1809	0.383	0.3872	0.5211	0.2795	0.6072	0.2141	0.2748	0.4933	0.3347	0.3862	0.3485	0.3528	0.2197	0.1781	0.1987	0.5614	0.2689	0.3958	0.4916	0.2501	0.2839	0.1545	0.4722	0.6055	0.4219	0.5064	0.7116	0.4393	0.6785	0.2758	0.2022	0.3653	0.3055	0.2805	0.252	0.277	0.379	0.3664	0.2714	0.364	0.6318	0.4405	0.3057	0.2382	0.6	0.2981	0.2902	0.2252	0.3046	0.5807	0.4835	0.5225	0.4007	0.2965	0.1933	0.2447	0.1305	0.2504	0.3186	0.178	0.5321	0.2734	0.2378	0.5238	0.2481	0.4867	0.2746	0.3716	0.1812	0.3061	0.239	0.1733	0.3166	0.3022	0.1762	0.5459	0.311	0.1871	0.2302	0.3386	0.1546	0.2232	0.4336	0.4051	0.4851	0.6135	0.2475	0.3785	0.3513	0.7669	0.3132	0.3454	0.2601	0.3225	0.4908	0.3262	0.2666	1	0.2813	0.3988	0.1935	0.3539
RXN_178	UDP[c]	0.4493	0.3237	0.1809	0.383	0.3872	0.5211	0.2795	0.6072	0.2141	0.2748	0.4933	0.3347	0.3862	0.3485	0.3528	0.2197	0.1781	0.1987	0.5614	0.2689	0.3958	0.4916	0.2501	0.2839	0.1545	0.4722	0.6055	0.4219	0.5064	0.7116	0.4393	0.6785	0.2758	0.2022	0.3653	0.3055	0.2805	0.252	0.277	0.379	0.3664	0.2714	0.364	0.6318	0.4405	0.3057	0.2382	0.6	0.2981	0.2902	0.2252	0.3046	0.5807	0.4835	0.5225	0.4007	0.2965	0.1933	0.2447	0.1305	0.2504	0.3186	0.178	0.5321	0.2734	0.2378	0.5238	0.2481	0.4867	0.2746	0.3716	0.1812	0.3061	0.239	0.1733	0.3166	0.3022	0.1762	0.5459	0.311	0.1871	0.2302	0.3386	0.1546	0.2232	0.4336	0.4051	0.4851	0.6135	0.2475	0.3785	0.3513	0.7669	0.3132	0.3454	0.2601	0.3225	0.4908	0.3262	0.2666	1	0.2813	0.3988	0.1935	0.3539
ADP[c]	RXN_179	0.4493	0.3237	0.1809	0.383	0.3872	0.5211	0.2795	0.6072	0.2141	0.2748	0.4933	0.3347	0.3862	0.3485	0.3528	0.2197	0.1781	0.1987	0.5614	0.2689	0.3958	0.4916	0.2501	0.2839	0.1545	0.4722	0.6055	0.4219	0.5064	0.7116	0.4393	0.6785	0.2758	0.2022	0.3653	0.3055	0.2805	0.252	0.277	0.379	0.3664	0.2714	0.364	0.6318	0.4405	0.3057	0.2382	0.6	0.2981	0.2902	0.2252	0.3046	0.5807	0.4835	0.5225	0.4007	0.2965	0.1933	0.2447	0.1305	0.2504	0.3186	0.178	0.5321	0.2734	0.2378	0.5238	0.2481	0.4867	0.2746	0.3716	0.1812	0.3061	0.239	0.1733	0.3166	0.3022	0.1762	0.5459	0.311	0.1871	0.2302	0.3386	0.1546	0.2232	0.4336	0.4051	0.4851	0.6135	0.2475	0.3785	0.3513	0.7669	0.3132	0.3454	0.2601	0.3225	0.4908	0.3262	0.2666	1	0.2813	0.3988	0.1935	0.3539
CTP[c]	RXN_179	0.4493	0.3237	0.1809	0.383	0.3872	0.5211	0.2795	0.6072	0.2141	0.2748	0.4933	0.3347	0.3862	0.3485	0.3528	0.2197	0.1781	0.1987	0.5614	0.2689	0.3958	0.4916	0.2501	0.2839	0.1545	0.4722	0.6055	0.4219	0.5064	0.7116	0.4393	0.6785	0.2758	0.2022	0.3653	0.3055	0.2805	0.252	0.277	0.379	0.3664	0.2714	0.364	0.6318	0.4405	0.3057	0.2382	0.6	0.2981	0.2902	0.2252	0.3046	0.5807	0.4835	0.5225	0.4007	0.2965	0.1933	0.2447	0.1305	0.2504	0.3186	0.178	0.5321	0.2734	0.2378	0.5238	0.2481	0.4867	0.2746	0.3716	0.1812	0.3061	0.239	0.1733	0.3166	0.3022	0.1762	0.5459	0.311	0.1871	0.2302	0.3386	0.1546	0.2232	0.4336	0.4051	0.4851	0.6135	0.2475	0.3785	0.3513	0.7669	0.3132	0.3454	0.2601	0.3225	0.4908	0.3262	0.2666	1	0.2813	0.3988	0.1935	0.3539
RXN_179	ATP[c]	0.4493	0.3237	0.1809	0.383	0.3872	0.5211	0.2795	0.6072	0.2141	0.2748	0.4933	0.3347	0.3862	0.3485	0.3528	0.2197	0.1781	0.1987	0.5614	0.2689	0.3958	0.4916	0.2501	0.2839	0.1545	0.4722	0.6055	0.4219	0.5064	0.7116	0.4393	0.6785	0.2758	0.2022	0.3653	0.3055	0.2805	0.252	0.277	0.379	0.3664	0.2714	0.364	0.6318	0.4405	0.3057	0.2382	0.6	0.2981	0.2902	0.2252	0.3046	0.5807	0.4835	0.5225	0.4007	0.2965	0.1933	0.2447	0.1305	0.2504	0.3186	0.178	0.5321	0.2734	0.2378	0.5238	0.2481	0.4867	0.2746	0.3716	0.1812	0.3061	0.239	0.1733	0.3166	0.3022	0.1762	0.5459	0.311	0.1871	0.2302	0.3386	0.1546	0.2232	0.4336	0.4051	0.4851	0.6135	0.2475	0.3785	0.3513	0.7669	0.3132	0.3454	0.2601	0.3225	0.4908	0.3262	0.2666	1	0.2813	0.3988	0.1935	0.3539
RXN_179	CDP[c]	0.4493	0.3237	0.1809	0.383	0.3872	0.5211	0.2795	0.6072	0.2141	0.2748	0.4933	0.3347	0.3862	0.3485	0.3528	0.2197	0.1781	0.1987	0.5614	0.2689	0.3958	0.4916	0.2501	0.2839	0.1545	0.4722	0.6055	0.4219	0.5064	0.7116	0.4393	0.6785	0.2758	0.2022	0.3653	0.3055	0.2805	0.252	0.277	0.379	0.3664	0.2714	0.364	0.6318	0.4405	0.3057	0.2382	0.6	0.2981	0.2902	0.2252	0.3046	0.5807	0.4835	0.5225	0.4007	0.2965	0.1933	0.2447	0.1305	0.2504	0.3186	0.178	0.5321	0.2734	0.2378	0.5238	0.2481	0.4867	0.2746	0.3716	0.1812	0.3061	0.239	0.1733	0.3166	0.3022	0.1762	0.5459	0.311	0.1871	0.2302	0.3386	0.1546	0.2232	0.4336	0.4051	0.4851	0.6135	0.2475	0.3785	0.3513	0.7669	0.3132	0.3454	0.2601	0.3225	0.4908	0.3262	0.2666	1	0.2813	0.3988	0.1935	0.3539
ADP[c]	RXN_180	0.3677	0.4666	0.2478	0.364	0.44	0.458	0.3739	0.3812	0.3895	0.4173	0.1586	0.2746	0.3085	0.4239	0.3359	0.1627	0.4664	0.3106	0.4435	0.2873	0.5343	0.295	0.2519	0.1865	0.7172	0.3015	0.2425	0.3201	0.4603	0.3236	0.21	0.2583	0.83	0.4148	0.3941	0.3073	0.3314	0.3382	0.2594	0.3081	0.3793	0.3822	0.307	0.354	0.4243	0.296	0.3727	0.2626	0.2915	0.2433	0.2694	0.4943	0.3233	0.3916	0.2497	0.3499	0.3187	0.4356	0.4051	0.3604	0.3914	0.3577	0.5432	0.446	0.4852	0.4646	0.3153	0.3475	0.5562	0.4061	0.5196	0.6624	0.7539	0.4406	0.4638	0.4602	0.3011	0.5002	0.3003	0.2708	0.4255	0.3069	0.2866	0.4047	0.5095	0.3395	0.3839	0.4935	0.2807	0.4391	0.2571	0.4109	0.2677	0.7035	0.379	0.3696	0.2926	0.3831	0.2336	0.4439	0.3118	0.3657	0.4772	0.1857	0.647
CDP[c]	RXN_180	0.3677	0.4666	0.2478	0.364	0.44	0.458	0.3739	0.3812	0.3895	0.4173	0.1586	0.2746	0.3085	0.4239	0.3359	0.1627	0.4664	0.3106	0.4435	0.2873	0.5343	0.295	0.2519	0.1865	0.7172	0.3015	0.2425	0.3201	0.4603	0.3236	0.21	0.2583	0.83	0.4148	0.3941	0.3073	0.3314	0.3382	0.2594	0.3081	0.3793	0.3822	0.307	0.354	0.4243	0.296	0.3727	0.2626	0.2915	0.2433	0.2694	0.4943	0.3233	0.3916	0.2497	0.3499	0.3187	0.4356	0.4051	0.3604	0.3914	0.3577	0.5432	0.446	0.4852	0.4646	0.3153	0.3475	0.5562	0.4061	0.5196	0.6624	0.7539	0.4406	0.4638	0.4602	0.3011	0.5002	0.3003	0.2708	0.4255	0.3069	0.2866	0.4047	0.5095	0.3395	0.3839	0.4935	0.2807	0.4391	0.2571	0.4109	0.2677	0.7035	0.379	0.3696	0.2926	0.3831	0.2336	0.4439	0.3118	0.3657	0.4772	0.1857	0.647
RXN_180	ATP[c]	0.3677	0.4666	0.2478	0.364	0.44	0.458	0.3739	0.3812	0.3895	0.4173	0.1586	0.2746	0.3085	0.4239	0.3359	0.1627	0.4664	0.3106	0.4435	0.2873	0.5343	0.295	0.2519	0.1865	0.7172	0.3015	0.2425	0.3201	0.4603	0.3236	0.21	0.2583	0.83	0.4148	0.3941	0.3073	0.3314	0.3382	0.2594	0.3081	0.3793	0.3822	0.307	0.354	0.4243	0.296	0.3727	0.2626	0.2915	0.2433	0.2694	0.4943	0.3233	0.3916	0.2497	0.3499	0.3187	0.4356	0.4051	0.3604	0.3914	0.3577	0.5432	0.446	0.4852	0.4646	0.3153	0.3475	0.5562	0.4061	0.5196	0.6624	0.7539	0.4406	0.4638	0.4602	0.3011	0.5002	0.3003	0.2708	0.4255	0.3069	0.2866	0.4047	0.5095	0.3395	0.3839	0.4935	0.2807	0.4391	0.2571	0.4109	0.2677	0.7035	0.379	0.3696	0.2926	0.3831	0.2336	0.4439	0.3118	0.3657	0.4772	0.1857	0.647
RXN_180	CMP[c]	0.3677	0.4666	0.2478	0.364	0.44	0.458	0.3739	0.3812	0.3895	0.4173	0.1586	0.2746	0.3085	0.4239	0.3359	0.1627	0.4664	0.3106	0.4435	0.2873	0.5343	0.295	0.2519	0.1865	0.7172	0.3015	0.2425	0.3201	0.4603	0.3236	0.21	0.2583	0.83	0.4148	0.3941	0.3073	0.3314	0.3382	0.2594	0.3081	0.3793	0.3822	0.307	0.354	0.4243	0.296	0.3727	0.2626	0.2915	0.2433	0.2694	0.4943	0.3233	0.3916	0.2497	0.3499	0.3187	0.4356	0.4051	0.3604	0.3914	0.3577	0.5432	0.446	0.4852	0.4646	0.3153	0.3475	0.5562	0.4061	0.5196	0.6624	0.7539	0.4406	0.4638	0.4602	0.3011	0.5002	0.3003	0.2708	0.4255	0.3069	0.2866	0.4047	0.5095	0.3395	0.3839	0.4935	0.2807	0.4391	0.2571	0.4109	0.2677	0.7035	0.379	0.3696	0.2926	0.3831	0.2336	0.4439	0.3118	0.3657	0.4772	0.1857	0.647
NH3[c]	RXN_181	0.3036	0.2471	0.2877	0.209	0.2894	0.31	0.2327	0.2134	0.2027	0.1697	0.1525	0.3146	0.3922	0.1904	0.5475	0.2497	0.3302	0.2663	0.2215	0.2826	0.1442	0.1954	0.2261	0.5255	0.3246	0.1704	0.33	0.2417	0.3486	0.5676	0.6384	0.1753	0.2945	0.2395	0.1624	0.1963	0.2419	0.1231	0.1483	0.353	0.2705	0.1492	0.4112	0.3347	0.2479	0.2736	0.2696	0.253	0.2463	0.1796	0.228	0.2792	0.3328	0.2318	0.315	0.2815	0.2554	0.2114	1	0.22	0.473	0.4754	0.3622	0.2161	0.6243	0.5816	0.2951	0.3845	0.2555	0.248	0.2818	0.7149	0.3486	0.1439	0.4027	0.363	0.4308	0.1779	0.4396	0.1764	0.7517	0.2022	0.2763	0.2789	0.1669	0.1875	0.3671	0.1516	0.1523	0.228	0.1931	0.6222	0.3548	0.3142	0.526	0.2034	0.8937	0.5686	0.3108	0.27	0.2523	0.2176	0.2592	0.1971	0.3378
